Id,WordName,Cost,Property,Desc,EffectType1,TargetType1,Value1_1,Value2_1,StatusType1,Condition1,CondProp1,UseCond1,CondVal1_1,CondVal2_1,SpecificCardId1,EffectType2,TargetType2,Value1_2,Value2_2,StatusType2,Keywords
1001,반역,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1002,세례,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1003,낙인,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1004,배덕,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1005,추방,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1006,갈구,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1007,단죄,1,Attack,피해를 1 줍니다.,Damage,Enemy,1,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1008,서곡,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1009,비명,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1010,궤멸,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1011,모독,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1012,찬탈,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1013,파계,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1014,박멸,2,Attack,피해를 2 줍니다.,Damage,Enemy,2,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
1015,참수,3,Attack,피해를 3 줍니다.,Damage,Enemy,3,0,None,None,None,FALSE,0,0,,None,None,0,0,None,None
